Optimised,		Brute,			K,		D	
313.65, 		10865.98, 		2,		2	
397.66, 		13290.17, 		2,		4	
647.34, 		17786.28, 		2,		6	
1506.71, 		19846.78, 		2,		8	
4301.24, 		24632.68, 		2,		10	
9499.06, 		26696.88, 		2,		12	
17277.28, 		33222.12, 		2,		14	
323.26, 		21172.62, 		6,		2	
434.99, 		23476.28, 		6,		4	
746.42, 		28483.45, 		6,		6	
2136.64, 		30800.63, 		6,		8	
6216.08, 		37329.36, 		6,		10	
13364.45, 		41230.08, 		6,		12	
24479.51, 		51948.62, 		6,		14	
468.33, 		36862.0, 		12,		2	
697.51, 		40858.72, 		12,		4	
1248.37, 		49988.5, 		12,		6	
3025.36, 		53249.72, 		12,		8	
7882.99, 		65170.23, 		12,		10	
15542.9, 		74242.4, 		12,		12	
29663.42,		97294.32,		12,		14	