Partition,   Sorting,     K,    D,   EQ
47.2,        68.61,       3	 ,   4 ,  0           
2790.23,     1287.14,     3	,   16 ,  0          
73.24,       91.73,       11,   4  ,  0     
3342.88,     1550.26,     11,	16 ,  0          
46.54,       58.49,       3	 ,   4 ,  1      
4801.45,     2238.78,     3	 ,   16,  1           
77.09,       94.64,       11 ,	 4 ,  1      
5866.85,     1754.7,      11 ,  16 ,  1       
895.13,      717.31,      3	 ,   4 ,  0               
579172.47,   71737.35,    3	,   16 ,  0                   
1606.66,     1056.6,      11,   4  ,  0          
882439.88,   93256.63,    11,	16 ,  0                   
1015.34,     774.83,      3	 ,   4 ,  1          
870679.56,   75949.72,    3	 ,   16,  1                       
1814.53,     1114.38,     11 ,	 4 ,  1               
1487264.45,  117716.65,   11 ,  16 ,  1                   