        All,              One,        K,    D
   278409.00,    286836.00   ,      1  ,    1
   576889.00,    704447.00   ,      1  ,    6
  3882609.00,    8563637.00  ,      1  ,   16
   282767.00,    289254.00   ,      5  ,    1
   727948.00,    948102.00   ,      5  ,    6
  5946092.00,    13082975.00 ,      5  ,   16
   675644.00,    627067.00   ,      17 ,    1
  1762943.00,    2367440.00  ,      17 ,    6
  9783637.00,    22904642.00 ,      17 ,   16
  1012280.00,    1069709.00  ,      1  ,    1
  1991181.00,    2373850.00  ,      1  ,    6
 10677555.00,    30748426.00 ,      1  ,   16
  1041518.00,    1086467.00  ,      5  ,    1
  2698815.00,    3569390.00  ,      5  ,    6
 19044828.00,    58172280.00 ,      5  ,   16
  2342703.00,    2388423.00  ,      17 ,    1
  7151400.00,    9204127.00  ,      17 ,    6
 36649144.00,    111723194.00,      17 ,   16